id,Periodo,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfoque
1,Mayo,M,ITI,4,3,5,5,4,1,5,4,4,5,3,1,4,5,4,3,3,4,5,3,3,4,4,1,3,5,3,5,2,4,3,4,4,2,2,2,4,4,2,4,4,1,4,4,"3,571428571",4,"3,142857143",2,4,"3,571428571","2,785714286",Superficial
2,Mayo,F,ITI,2,5,4,2,2,1,3,2,4,4,5,4,5,4,5,3,2,5,2,5,3,1,5,5,4,1,2,4,4,4,5,5,3,3,1,2,4,4,5,3,5,5,"3,571428571","3,714285714","3,714285714","2,857142857","3,428571429","3,714285714","3,214285714","3,571428571","3,714285714",Logro
3,Mayo,F,LAF,5,5,5,3,2,1,5,3,5,5,3,2,5,5,5,3,2,5,5,2,4,4,3,2,4,5,5,5,2,3,5,4,5,2,2,2,5,5,4,1,3,5,"4,857142857","4,142857143","4,714285714","3,285714286","2,428571429","2,857142857","4,071428571","3,285714286","3,785714286",Superficial
4,Mayo,M,INT,3,4,3,3,4,3,4,4,4,4,4,3,4,4,5,2,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,2,2,5,4,3,2,3,3,"3,571428571","3,428571429","3,571428571","3,142857143","3,285714286","2,857142857","3,357142857","3,357142857","3,214285714",Superficial
5,Mayo,M,LAF,3,4,4,1,5,3,4,3,5,4,4,4,4,4,4,5,4,4,5,3,4,1,4,5,4,3,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4,"3,714285714","3,571428571","4,285714286","3,285714286","4,142857143","4,142857143","3,5","3,857142857","4,214285714",Logro
6,Mayo,M,IQA,3,5,4,1,5,5,2,5,5,5,5,1,5,5,4,4,5,1,1,1,5,1,5,5,1,5,1,1,5,5,5,5,1,2,4,5,5,5,5,3,5,5,"3,142857143","4,428571429","3,571428571","2,428571429","4,857142857","3,857142857","2,785714286","4,642857143","3,714285714",Profundo
7,Mayo,F,ARQ,2,5,5,1,4,3,5,3,5,4,4,3,5,4,5,5,3,2,5,3,3,3,4,4,4,3,2,3,3,4,5,4,2,3,3,5,5,4,3,3,4,4,"4,428571429","3,714285714","3,571428571","3,142857143","3,571428571","3,571428571","3,785714286","3,642857143","3,571428571",Superficial
8,Mayo,M,LAEt,2,4,4,3,5,4,2,2,3,4,4,4,4,4,5,4,4,4,2,4,1,3,3,3,3,1,3,3,4,4,2,4,4,2,5,4,4,4,3,4,4,5,"2,714285714","3,285714286","3,285714286","3,285714286","4,142857143",4,3,"3,714285714","3,642857143",Profundo
9,Mayo,F,MBI,2,5,5,1,2,1,5,5,5,4,5,3,5,2,5,3,5,4,5,4,3,3,5,1,5,5,4,5,3,5,1,3,5,2,1,1,5,3,4,3,4,5,4,"3,857142857","4,428571429",3,"3,571428571","2,857142857","3,5","3,714285714","3,642857143",Profundo
10,Mayo,F,IBT,3,4,4,2,3,2,5,4,5,5,3,3,4,3,5,3,3,5,5,3,4,2,4,3,2,5,4,5,3,3,3,3,2,3,2,3,4,5,2,3,3,4,"3,714285714","3,857142857","3,714285714","3,285714286",3,"3,285714286","3,5","3,428571429","3,5",Superficial
